house_id,city,sale_price,sale_date,months_listed,bedrooms,house_type,area
1634561,3,401869,12/14/2021,7.0,6,3,519.7
1009770,1,372387,9/11/2022,8.1,6,3,507.8
1946667,1,325473,8/19/2020,5.4,5,3,466.8
1798290,1,349469,12/10/2022,6.4,5,3,499.4
1533461,4,199995,4/7/2020,4.3,4,3,335.0
1232200,3,67372,5/9/2021,5.9,2,2,116.5
1182761,4,193803,10/30/2022,9.5,4,3,321.8
1346363,4,321844,12/6/2020,6.3,6,3,582.9
1459745,2,268723,9/7/2022,5.8,6,3,553.0
1610313,4,113063,7/19/2021,2.2,3,2,239.4
1317126,3,41478,7/8/2022,7.2,2,1,111.7
1087100,4,155106,6/25/2021,2.9,3,3,265.5
1488925,2,208507,5/30/2022,9.7,4,3,393.5
1714846,1,413526,8/19/2021,3.1,6,3,569.0
1042643,3,415605,9/17/2020,1.0,6,3,581.6
1377739,1,194645,1/5/2022,2.0,3,3,274.8
1904652,2,23181,9/7/2022,4.9,2,1,101.3
1165244,2,320225,11/22/2020,2.5,6,3,590.5
1579548,1,106116,5/23/2022,4.0,3,2,202.9
1488968,1,234688,10/13/2022,3.3,4,3,332.7
1935780,1,428866,3/28/2021,6.5,6,3,573.6
1086216,3,257398,1/15/2021,8.2,4,3,338.9
1373797,2,109814,10/7/2022,5.0,3,3,211.4
1740539,2,159533,5/6/2022,4.0,4,3,339.1
1308603,4,121614,12/11/2021,5.1,3,3,219.4
1630422,1,106098,12/20/2020,5.6,2,2,196.5
1124700,3,433904,6/22/2022,8.1,6,3,599.6
1152528,3,130151,6/3/2021,4.8,3,2,221.1
1945232,1,368984,6/29/2021,2.9,5,3,498.6
1979722,2,285023,3/24/2021,2.9,6,3,562.6
1409959,2,55809,4/16/2022,5.3,2,2,148.1
1440885,1,310956,5/6/2022,9.0,5,3,433.5
1304938,4,276337,11/10/2021,8.6,5,3,449.8
1336638,1,242598,3/12/2020,7.6,4,3,341.0
1453413,4,341008,3/7/2022,5.9,6,3,591.5
1319131,3,95441,6/27/2021,5.7,2,2,163.8
1272712,3,137139,1/4/2021,8.0,3,2,213.3
1778882,4,247739,10/4/2022,7.4,4,3,394.2
1975821,2,272388,6/8/2022,5.1,5,3,495.3
1934969,2,130108,5/1/2022,5.1,3,3,284.9
1795070,1,399652,5/22/2021,5.0,6,3,567.1
1447152,3,248686,12/10/2021,5.8,4,3,311.4
1560330,3,353630,5/17/2020,9.7,5,3,419.6
1389691,4,76029,10/16/2020,5.3,2,2,183.2
1256691,3,438922,9/26/2022,4.9,6,3,528.7
1783636,4,35110,10/1/2020,8.3,2,1,116.0
1605074,1,275995,6/9/2021,6.9,5,3,421.4
1579733,3,361171,8/31/2020,11.0,5,3,425.8
1524267,4,232195,11/7/2021,5.0,4,3,383.8
1477266,1,192310,8/19/2021,6.0,3,3,276.0
1189627,1,71094,1/31/2020,7.9,2,2,137.1
1004887,4,80156,4/17/2021,6.2,2,2,177.2
1130084,3,409702,1/19/2020,5.0,6,3,525.0
1185353,1,215429,11/25/2021,6.4,4,3,305.7
1654137,4,71495,10/10/2022,5.8,2,2,153.6
1496270,4,85356,6/7/2020,7.5,2,2,198.4
1123020,1,277756,1/27/2022,3.1,5,3,422.2
1558840,3,363268,5/9/2021,5.1,5,3,474.6
1040876,3,439609,12/5/2021,7.6,6,3,516.5
1657318,4,196704,10/4/2021,5.2,4,3,324.1
1891576,1,78823,5/4/2021,3.8,2,2,154.6
1739640,4,213012,11/9/2020,7.4,4,3,379.0
1762306,4,235404,5/8/2022,6.4,5,3,401.2
1758173,3,297353,11/27/2020,5.8,4,3,338.9
1159237,4,243197,3/1/2020,6.6,5,3,404.9
1359874,3,89950,11/29/2022,3.9,3,1,227.9
1537517,4,184165,10/28/2021,7.0,4,3,316.5
1744595,4,323027,11/27/2022,6.9,6,3,553.4
1573501,1,241792,1/20/2022,5.9,4,3,339.3
1029718,3,374110,5/1/2021,2.9,5,3,460.3
1971259,2,322694,2/17/2020,9.4,6,3,598.8
1615821,4,336808,8/6/2021,7.7,6,3,575.2
1609069,3,49987,5/8/2022,4.9,2,1,119.2
1377136,1,347003,11/1/2020,5.6,6,3,552.1
1526388,4,174474,2/8/2022,6.2,3,3,299.0
1111557,1,323803,5/24/2022,2.8,5,3,457.2
1417179,3,200146,4/2/2021,4.8,3,3,255.4
1223299,2,294691,5/2/2021,3.5,6,3,560.6
1737203,4,172036,10/20/2022,7.2,4,3,307.9
1109555,1,339025,10/13/2021,5.4,6,3,523.3
1636533,1,243117,11/25/2022,7.0,4,3,338.6
1027198,1,194077,3/17/2022,5.3,3,3,291.1
1922450,1,195974,5/27/2022,3.9,3,3,281.1
1617331,3,516624,6/30/2022,5.0,6,3,596.9
1563665,1,184784,2/26/2022,4.8,3,3,277.1
1384545,3,217063,3/24/2020,6.9,3,3,271.0
1322880,2,199827,5/28/2022,3.6,5,3,408.8
1365197,4,276932,4/27/2022,7.5,5,3,463.9
1349378,1,374141,6/1/2022,6.5,6,3,506.3
1079769,1,181196,7/26/2021,2.8,3,3,260.4
1740291,1,298140,11/12/2021,0.8,5,3,427.3
1131472,1,240606,2/23/2022,6.4,4,3,364.3
1191856,2,271071,8/16/2020,2.7,6,3,567.9
1611575,1,64098,3/21/2020,3.3,2,2,128.8
1370172,3,176089,1/30/2021,6.0,3,3,216.9
1211396,1,260869,10/7/2022,2.4,4,3,357.1
1809993,1,38792,2/2/2020,3.7,2,1,107.8
1181612,1,357576,7/25/2022,4.3,6,3,510.6
1963360,3,72500,9/21/2021,4.4,2,2,128.3
1677369,4,260135,1/8/2022,5.9,5,3,440.6
1100786,3,254782,6/5/2020,5.7,4,3,339.1
1257219,3,288870,9/25/2020,5.5,4,3,354.2
1446965,1,252522,9/11/2022,7.6,4,3,366.5
1187562,3,106866,3/2/2020,6.3,2,2,195.4
1203137,3,91641,5/18/2021,5.2,2,2,145.7
1870954,1,118415,3/8/2022,9.3,3,2,219.9
1698510,1,295302,11/12/2020,6.7,5,3,439.3
1881469,1,290033,2/3/2022,2.5,5,3,403.1
1100411,2,40111,5/14/2021,8.0,2,2,111.6
1293287,1,385211,6/24/2022,5.7,6,3,543.0
1545556,1,144525,8/29/2022,2.1,3,3,218.4
1681404,1,421460,9/20/2020,1.9,6,3,583.9
1956067,1,172738,6/16/2022,5.3,3,3,246.3
1067038,3,249200,7/2/2022,8.1,3,3,293.5
1090523,1,68141,2/16/2021,6.2,3,1,205.0
1861353,1,250316,3/29/2021,7.6,4,3,370.5
1948827,1,62985,8/18/2021,4.7,2,2,113.2
1588970,1,57387,3/2/2022,6.3,2,2,112.4
1680984,2,30971,7/30/2022,6.7,2,1,131.5
1590458,2,252866,6/27/2021,4.5,6,3,551.1
1512645,1,202339,6/1/2021,3.3,3,3,299.9
1140940,4,270969,1/3/2020,3.7,5,3,458.1
1990339,2,262245,1/4/2020,4.1,6,3,525.2
1124910,2,66592,5/1/2021,7.7,2,2,178.7
1977248,4,163449,2/25/2022,0.3,3,3,282.6
1631091,1,77797,12/1/2021,7.0,3,1,224.3
1161719,1,301887,6/22/2022,8.4,5,3,413.0
1458216,4,343969,1/13/2020,7.8,6,3,546.3
1044065,4,152865,1/14/2020,4.0,3,3,267.8
1413343,1,106757,12/2/2021,5.5,3,2,214.8
1874541,3,333107,2/3/2022,7.1,5,3,419.8
1914040,2,159526,11/27/2021,6.7,4,3,337.0
1438546,1,165342,9/24/2022,5.9,3,3,234.8
1789341,3,88846,10/21/2020,7.6,3,1,226.8
1029998,4,288417,4/22/2022,0.8,5,3,458.8
1122648,1,74877,5/5/2020,5.6,2,2,143.7
1267908,4,333414,11/25/2021,5.6,6,3,569.5
1034144,3,322849,4/20/2022,4.4,5,3,444.3
1939333,2,155511,4/26/2021,4.7,3,3,298.8
1554142,1,269308,5/25/2020,4.6,4,3,367.8
1154520,2,238229,11/2/2022,7.9,5,3,460.0
1638398,4,212306,7/4/2021,6.9,4,3,385.0
1724642,1,372613,10/19/2021,4.9,6,3,553.9
1328104,4,269271,7/22/2020,4.9,5,3,483.7
1896724,1,105120,4/29/2022,5.8,3,2,208.2
1558067,4,373386,5/3/2022,5.2,6,3,555.6
1388243,1,278373,3/11/2022,8.0,4,3,389.7
1722754,4,289269,2/2/2022,6.7,5,3,482.7
1509635,1,358204,8/26/2020,3.8,5,3,479.9
1995485,2,139794,5/27/2021,5.0,3,3,268.7
1626519,1,279673,8/25/2021,3.5,5,3,421.5
1451499,1,326130,2/18/2021,5.4,5,3,453.6
1941154,2,245419,3/12/2021,6.8,5,3,498.0
1076986,1,60712,4/18/2021,10.6,2,2,108.2
1218668,4,192083,4/14/2022,4.8,4,3,303.4
1106142,1,218191,10/26/2020,6.4,4,3,309.2
1283101,3,221572,10/7/2020,6.2,3,3,282.4
1202040,1,391619,10/26/2021,5.4,6,3,596.5
1368369,3,350169,7/16/2022,8.3,5,3,436.1
1166737,2,162652,9/2/2021,2.8,4,3,348.6
1199613,1,54421,7/7/2022,5.3,2,2,115.1
1520767,1,238958,12/7/2021,5.9,4,3,332.2
1187630,4,226332,7/13/2020,5.6,4,3,370.4
1624607,1,121148,11/11/2020,5.8,3,2,229.1
1175936,1,280173,12/2/2020,3.9,4,3,382.4
1719078,1,99717,1/4/2022,6.0,2,2,173.4
1320867,2,157480,12/25/2022,8.0,4,3,300.8
1205924,4,286116,3/19/2022,3.2,5,3,431.5
1608724,3,284254,2/11/2020,2.9,4,3,381.4
1360009,3,72337,11/27/2022,6.8,2,2,129.9
1044267,2,56430,7/26/2022,5.1,2,2,154.5
1892591,1,262759,3/16/2022,4.6,5,3,408.9
1318950,4,326165,7/2/2020,2.9,6,3,525.4
1551761,3,75565,5/10/2020,6.0,2,2,140.6
1740379,1,64239,3/10/2021,4.5,2,2,106.9
1251442,3,433236,3/14/2020,6.6,6,3,581.4
1271709,1,352954,10/17/2021,5.4,5,3,456.1
1608199,2,178179,12/9/2020,8.8,4,3,331.3
1662264,1,236510,6/7/2020,7.2,4,3,337.8
1593366,1,98538,3/15/2022,7.8,2,2,192.3
1670174,1,290958,2/16/2021,5.2,5,3,445.2
1177400,1,337862,7/11/2022,6.4,6,3,501.9
1718286,4,209139,6/10/2021,6.3,4,3,334.7
1056929,1,65113,4/13/2021,7.4,3,1,203.7
1261487,1,73438,11/4/2021,7.0,3,1,216.4
1918887,2,89352,5/4/2022,3.3,3,2,225.1
1839301,2,188271,11/9/2022,5.1,4,3,368.8
1378944,3,274615,12/11/2022,6.7,4,3,324.4
1361678,1,120910,2/12/2022,5.1,3,2,230.0
1057994,1,417167,5/12/2022,6.6,6,3,583.4
1415253,3,85250,9/30/2020,2.8,2,2,133.5
1749362,2,191281,6/13/2020,7.1,4,3,375.0
1531813,4,386972,12/28/2020,5.1,6,3,579.7
1174334,3,359501,11/7/2020,8.3,5,3,462.9
1768142,3,400139,8/19/2022,7.2,5,3,484.0
1304474,4,252358,6/6/2020,4.0,5,3,422.4
1401518,1,185069,10/9/2020,6.6,3,3,282.2
1602387,1,149137,12/27/2022,3.3,3,3,208.8
1692601,1,381504,8/1/2020,3.9,6,3,521.5
1379147,4,86428,5/16/2021,6.4,2,2,188.6
1286114,4,248906,9/16/2021,7.2,5,3,418.2
1759763,4,258477,11/19/2022,6.7,5,3,441.7
1498928,4,134977,5/20/2021,6.5,3,3,234.5
1052026,4,171227,4/21/2022,8.4,3,3,272.0
1929701,3,246540,10/15/2020,2.6,3,3,297.6
1411764,4,45163,6/29/2022,8.8,2,1,159.3
1518986,4,149367,10/21/2020,7.1,3,3,254.8
1769885,1,209648,2/28/2022,5.9,3,3,282.5
1765487,1,347563,9/15/2020,6.9,5,3,483.9
1410151,3,240666,8/3/2022,4.9,4,3,320.6
1134263,1,320249,10/3/2021,2.8,5,3,494.0
1839953,3,82874,5/12/2022,4.7,2,2,148.7
1957935,4,150119,1/25/2020,6.5,3,3,251.0
1401395,3,271090,10/12/2020,1.5,4,3,374.3
1649718,3,354130,5/1/2022,6.5,5,3,442.8
1165972,4,223128,1/5/2021,2.7,4,3,348.4
1378518,3,300266,6/27/2020,6.3,4,3,360.3
1257987,4,314589,4/18/2021,4.2,6,3,540.2
1062862,3,350690,12/7/2020,3.2,5,3,448.1
1796287,4,230724,4/22/2022,6.0,5,3,418.5
1422316,4,199246,12/25/2021,2.0,3,3,292.1
1171902,4,330478,7/30/2020,7.8,6,3,568.9
1150214,1,307053,1/4/2021,6.1,5,3,448.0
1787139,2,47587,10/9/2021,2.8,2,1,196.1
1954307,1,123146,2/12/2020,5.1,3,2,232.3
1872657,2,124207,7/8/2022,5.3,3,3,241.0
1992565,4,254878,3/11/2021,12.0,5,3,411.0
1635959,1,385926,12/5/2021,6.5,6,3,545.2
1564606,4,342624,1/20/2022,3.2,6,3,599.1
1179507,2,207609,4/4/2021,3.6,5,3,414.1
1019221,1,290826,11/11/2022,8.4,5,3,423.7
1758219,4,273715,11/2/2020,6.4,6,3,536.1
1001874,1,95006,5/14/2021,6.9,2,2,183.7
1763492,4,244894,12/24/2022,5.9,5,3,404.7
1901931,3,456244,7/24/2021,3.5,6,3,595.2
1062220,3,127599,1/18/2022,4.6,3,2,227.0
1575836,3,76801,2/23/2020,8.2,2,2,137.4
1075409,4,267993,1/28/2020,8.0,5,3,472.9
1290752,1,395464,1/13/2020,6.5,6,3,564.8
1044630,1,419007,11/30/2021,6.2,6,3,599.6
1104937,2,38536,1/1/2020,4.5,2,2,103.3
1807648,2,70369,1/24/2020,7.1,3,2,201.2
1794466,4,145465,9/9/2020,4.8,3,3,248.3
1866939,3,288621,11/21/2021,3.7,4,3,347.8
1763383,1,231361,7/31/2020,7.5,4,3,334.1
1607347,4,262075,8/19/2021,4.2,5,3,412.8
1612898,4,328063,4/16/2022,6.9,6,3,537.0
1171951,4,175379,8/9/2021,6.5,3,3,299.4
1733876,4,142099,6/17/2022,10.5,3,3,228.5
1926275,3,86677,2/12/2021,6.7,2,2,145.9
1593282,3,115288,2/13/2020,7.0,2,2,193.4
1952765,3,355651,7/29/2021,5.6,5,3,461.0
