house_id,city,sale_price,sale_date,months_listed,bedrooms,house_type,area
1354601,Silvertown,121587,1/1/2020,10.5,3,Semi-detached,222.7 sq.m.
1689970,Silvertown,124509,1/2/2020,0.5,3,Semi-detached,224.4 sq.m.
1941449,Silvertown,201621,1/3/2020,8.4,3,Detached,298.9 sq.m.
1294049,Silvertown,308376,1/3/2020,4.4,5,Detached,453.7 sq.m.
1833753,Teasdale,403940,1/3/2020,5.7,6,Detached,526.3 sq.m.
1632453,Poppleton,252808,1/5/2020,4.4,5,Detached,416.6 sq.m.
1468812,Poppleton,259943,1/5/2020,4.8,5,Detached,440.8 sq.m.
1598909,Poppleton,332904,1/5/2020,2.9,6,Detached,524.1 sq.m.
1664309,Riverford,61728,1/6/2020,3.0,3,Terraced,233.2 sq.m.
1736423,Silvertown,195166,1/7/2020,5.9,3,Detached,262.3 sq.m.
1850313,Poppleton,222766,1/7/2020,8.5,4,Detached,397.0 sq.m.
1309502,Poppleton,242523,1/8/2020,1.9,5,Detached,408.4 sq.m.
1467017,Silvertown,250883,1/9/2020,8.2,4,Detached,321.2 sq.m.
1685455,Riverford,251617,1/9/2020,4.5,5,Detached,477.7 sq.m.
1509752,Poppleton,299439,1/9/2020,4.7,6,Detached,533.1 sq.m.
1705357,Silvertown,308984,1/9/2020,6.5,5,Detached,433.9 sq.m.
1350280,Silvertown,368903,1/9/2020,8.9,6,Detached,511.1 sq.m.
1324648,Silvertown,399945,1/9/2020,8.7,6,Detached,579.6 sq.m.
1046302,Poppleton,207444,1/10/2020,4.4,4,Detached,320.1 sq.m.
1011982,Teasdale,215635,1/10/2020,7.2,4,Detached,304.3 sq.m.
1281028,Riverford,229632,1/10/2020,6.4,6,Detached,504.4 sq.m.
1911709,Silvertown,198055,1/12/2020,7.2,3,Detached,294.4 sq.m.
1241963,Silvertown,423804,1/12/2020,2.6,6,Detached,598.2 sq.m.
1995152,Teasdale,73992,1/13/2020,2.9,2,Semi-detached,130.6 sq.m.
1234703,Poppleton,44759,1/14/2020,7.8,2,Terraced,155.8 sq.m.
1365938,Teasdale,344703,1/14/2020,4.4,5,Detached,445.4 sq.m.
1608672,Silvertown,116013,1/15/2020,7.5,3,Semi-detached,207.0 sq.m.
1896257,Riverford,275148,1/16/2020,6.1,6,Detached,510.6 sq.m.
1060270,Teasdale,493150,1/16/2020,9.7,6,Detached,571.8 sq.m.
1076417,Silvertown,179314,1/17/2020,5.3,3,Detached,251.2 sq.m.
1268037,Teasdale,228663,1/17/2020,5.5,3,Detached,283.4 sq.m.
1728821,Teasdale,348439,1/17/2020,7.3,5,Detached,452.8 sq.m.
1919603,Teasdale,72861,1/19/2020,4.6,2,Terraced,172.9 sq.m.
1834295,Silvertown,198761,1/19/2020,6.9,3,Detached,270.6 sq.m.
1625823,Teasdale,251465,1/19/2020,6.2,4,Detached,324.8 sq.m.
1137000,Silvertown,262497,1/20/2020,7.9,4,Detached,371.4 sq.m.
1510070,Poppleton,312925,1/20/2020,6.5,5,Detached,495.4 sq.m.
1128031,Teasdale,322419,1/20/2020,5.7,5,Detached,403.8 sq.m.
1858483,Teasdale,333975,1/20/2020,6.0,5,Detached,405.4 sq.m.
1233627,Teasdale,419727,1/20/2020,4.5,6,Detached,526.9 sq.m.
1692792,Riverford,35548,1/22/2020,10.2,2,Terraced,136.9 sq.m.
1857501,Silvertown,225898,1/22/2020,10.4,4,Detached,302.7 sq.m.
1561565,Silvertown,224404,1/23/2020,7.7,4,Detached,312.7 sq.m.
1871098,Riverford,179692,1/26/2020,7.5,4,Detached,370.7 sq.m.
1533230,Teasdale,250696,1/26/2020,4.8,4,Detached,320.7 sq.m.
1089831,Silvertown,408034,1/26/2020,4.1,6,Detached,531.9 sq.m.
1051241,Poppleton,93551,1/27/2020,5.5,3,Semi-detached,208.8 sq.m.
1913428,Riverford,51649,1/28/2020,7.4,2,Semi-detached,145.8 sq.m.
1163990,Unknown,299339,1/28/2020,7.8,5,Detached,497.2 sq.m.
1336202,Poppleton,90218,1/30/2020,7.3,3,Semi-detached,209.6 sq.m.
1414501,Poppleton,239628,1/30/2020,5.8,5,Detached,441.0 sq.m.
1400196,Silvertown,98060,1/31/2020,5.1,3,Semi-detached,201.7 sq.m.
1418816,Teasdale,202506,1/31/2020,5.8,3,Detached,254.8 sq.m.
1655586,Silvertown,366027,1/31/2020,8.4,6,Detached,513.8 sq.m.
1249804,Teasdale,402797,2/3/2020,7.0,6,Detached,502.4 sq.m.
1807802,Poppleton,301959,2/4/2020,5.2,6,Detached,512.8 sq.m.
1508452,Silvertown,337815,2/6/2020,4.9,6,Detached,505.0 sq.m.
1748617,Teasdale,269311,2/7/2020,6.1,4,Detached,380.8 sq.m.
1168631,Teasdale,292514,2/8/2020,9.0,4,Detached,370.0 sq.m.
1435028,Poppleton,155078,2/9/2020,11.4,3,Detached,274.2 sq.m.
1060994,Silvertown,285350,2/9/2020,5.0,5,Detached,408.2 sq.m.
1885610,Teasdale,237387,2/11/2020,6.6,3,Detached,282.2 sq.m.
1065281,Poppleton,49368,2/12/2020,3.9,2,Semi-detached,110.3 sq.m.
1947450,Poppleton,273134,2/13/2020,4.5,5,Detached,486.5 sq.m.
1649002,Teasdale,496913,2/15/2020,6.7,6,Detached,582.0 sq.m.
1281064,Silvertown,348346,2/17/2020,4.5,5,Detached,469.3 sq.m.
1877172,Poppleton,39578,2/19/2020,7.9,2,Terraced,124.5 sq.m.
1731052,Silvertown,370200,2/19/2020,5.4,6,Detached,551.0 sq.m.
1237166,Silvertown,108829,2/20/2020,2.7,3,Semi-detached,226.6 sq.m.
1480021,Poppleton,81989,2/21/2020,3.1,2,Semi-detached,175.0 sq.m.
1644786,Unknown,261715,2/22/2020,3.2,6,Detached,552.1 sq.m.
1471399,Teasdale,455923,2/22/2020,6.3,6,Detached,591.5 sq.m.
1070852,Riverford,160653,2/25/2020,6.9,4,Detached,316.3 sq.m.
1164142,Silvertown,201349,2/26/2020,9.0,4,Detached,310.9 sq.m.
1569660,Poppleton,233671,2/26/2020,4.6,4,Detached,394.5 sq.m.
1737825,Riverford,30704,2/27/2020,7.0,2,Terraced,120.5 sq.m.
1279074,Teasdale,94069,2/27/2020,6.5,3,Terraced,234.1 sq.m.
1929473,Poppleton,162439,2/27/2020,6.4,3,Detached,250.2 sq.m.
1040638,Riverford,177220,2/28/2020,3.4,4,Detached,349.3 sq.m.
1790132,Teasdale,407650,2/28/2020,8.2,6,Detached,526.8 sq.m.
1659651,Silvertown,46673,2/29/2020,6.7,2,Semi-detached,101.0 sq.m.
1881658,Poppleton,198199,2/29/2020,7.6,4,Detached,327.2 sq.m.
1035550,Poppleton,58922,3/1/2020,4.2,2,Semi-detached,136.0 sq.m.
1479094,Riverford,75716,3/1/2020,6.1,3,Semi-detached,212.3 sq.m.
1402660,Silvertown,130170,3/1/2020,3.9,2,Detached,182.8 sq.m.
1914580,Silvertown,155535,3/1/2020,5.9,3,Detached,223.9 sq.m.
1446830,Teasdale,235888,3/1/2020,6.2,4,Detached,307.3 sq.m.
1580905,Silvertown,268945,3/1/2020,6.1,5,Detached,411.2 sq.m.
1855402,Riverford,142703,3/2/2020,6.0,4,Detached,300.9 sq.m.
1635137,Riverford,294888,3/3/2020,6.1,6,Detached,549.1 sq.m.
1821781,Teasdale,422933,3/3/2020,6.8,6,Detached,537.9 sq.m.
1669244,Poppleton,146335,3/4/2020,7.1,3,Detached,258.3 sq.m.
1622041,Silvertown,432173,3/5/2020,3.3,6,Detached,599.5 sq.m.
1375644,Teasdale,57317,3/6/2020,7.6,2,Terraced,135.6 sq.m.
1045210,Silvertown,196553,3/6/2020,6.5,3,Detached,279.7 sq.m.
1758719,Silvertown,249436,3/6/2020,7.6,4,Detached,349.8 sq.m.
1357211,Teasdale,421254,3/7/2020,7.9,5,Detached,499.0 sq.m.
1358048,Teasdale,256985,3/8/2020,8.1,4,Detached,309.3 sq.m.
1929594,Silvertown,156936,3/9/2020,6.1,3,Detached,250.1 sq.m.
1746052,Riverford,183085,3/9/2020,4.4,4,Detached,373.3 sq.m.
1151354,Poppleton,213912,3/9/2020,3.9,4,Detached,359.4 sq.m.
1067312,Silvertown,263986,3/12/2020,4.1,4,Detached,367.0 sq.m.
1210299,Poppleton,45820,3/13/2020,6.3,2,Terraced,158.1 sq.m.
1699887,Poppleton,146508,3/15/2020,5.9,3,Detached,255.6 sq.m.
1406027,Silvertown,424964,3/15/2020,8.2,6,Detached,587.7 sq.m.
1833883,Teasdale,321102,3/16/2020,4.0,4,Detached,389.5 sq.m.
1536822,Silvertown,249262,3/17/2020,7.4,4,Detached,371.2 sq.m.
1586352,Silvertown,60350,3/18/2020,6.9,2,Semi-detached,113.7 sq.m.
1245960,Riverford,163726,3/18/2020,2.6,4,Detached,347.9 sq.m.
1764460,Unknown,42573,3/19/2020,9.0,2,Semi-detached,122.0 sq.m.
1232228,Silvertown,312084,3/19/2020,6.1,5,Detached,475.3 sq.m.
1656422,Silvertown,354319,3/19/2020,5.8,6,Detached,535.5 sq.m.
1940214,Riverford,207419,3/20/2020,6.4,5,Detached,411.5 sq.m.
1983578,Teasdale,110611,3/21/2020,6.6,2,Semi-detached,182.4 sq.m.
1451623,Unknown,339267,3/21/2020,2.2,6,Detached,561.6 sq.m.
1124806,Unknown,390983,3/21/2020,3.6,6,Detached,522.2 sq.m.
1572330,Poppleton,55775,3/22/2020,6.9,2,Semi-detached,124.3 sq.m.
1737414,Poppleton,261457,3/23/2020,6.0,5,Detached,454.1 sq.m.
1869923,Silvertown,276995,3/24/2020,3.2,4,Detached,351.5 sq.m.
1120760,Poppleton,281211,3/26/2020,9.5,5,Detached,485.9 sq.m.
1459954,Silvertown,175759,3/27/2020,6.5,3,Detached,262.7 sq.m.
1554766,Poppleton,212534,3/27/2020,5.1,4,Detached,332.5 sq.m.
1702443,Poppleton,154017,3/31/2020,7.0,3,Detached,245.6 sq.m.
1356336,Silvertown,394333,3/31/2020,7.7,6,Detached,564.9 sq.m.
1282336,Silvertown,278957,4/3/2020,4.6,5,Detached,400.4 sq.m.
1907377,Teasdale,362407,4/5/2020,3.4,5,Detached,446.7 sq.m.
1230625,Silvertown,360545,4/7/2020,6.2,6,Detached,512.9 sq.m.
1414175,Teasdale,442733,4/7/2020,6.4,6,Detached,552.1 sq.m.
1709120,Silvertown,344630,4/8/2020,9.3,5,Detached,471.6 sq.m.
1507065,Silvertown,420380,4/8/2020,4.3,6,Detached,541.9 sq.m.
1463399,Poppleton,53281,4/9/2020,5.0,2,Semi-detached,136.7 sq.m.
1036836,Riverford,211025,4/10/2020,4.4,5,Detached,408.3 sq.m.
1406280,Teasdale,195149,4/11/2020,3.9,3,Detached,243.7 sq.m.
1029841,Poppleton,99687,4/12/2020,6.3,3,Semi-detached,232.9 sq.m.
1639742,Silvertown,191761,4/12/2020,5.9,4,Detached,303.2 sq.m.
1788752,Teasdale,192159,4/12/2020,6.8,3,Detached,261.0 sq.m.
1988984,Silvertown,224529,4/12/2020,9.6,4,Detached,326.3 sq.m.
1178486,Silvertown,233131,4/12/2020,5.8,4,Detached,336.5 sq.m.
1598280,Teasdale,91672,4/13/2020,7.6,3,Terraced,229.4 sq.m.
1773666,Silvertown,373251,4/13/2020,6.1,6,Detached,528.4 sq.m.
1358710,Poppleton,243194,4/14/2020,4.1,5,Detached,402.6 sq.m.
1239607,Poppleton,173098,4/16/2020,5.9,3,Detached,296.9 sq.m.
1212300,Silvertown,280667,4/16/2020,7.0,4,Detached,391.3 sq.m.
1974135,Teasdale,227802,4/17/2020,7.8,3,Detached,275.3 sq.m.
1920396,Riverford,246518,4/17/2020,6.6,5,Detached,482.6 sq.m.
1243395,Teasdale,293273,4/17/2020,3.6,5,Detached,414.4 sq.m.
1334358,Poppleton,336997,4/18/2020,9.7,6,Detached,560.5 sq.m.
1723878,Silvertown,95010,4/19/2020,5.8,2,Semi-detached,175.3 sq.m.
1438805,Silvertown,60548,4/20/2020,5.4,2,Terraced,186.6 sq.m.
1223416,Teasdale,220807,4/21/2020,4.0,3,Detached,274.8 sq.m.
1049091,Silvertown,291828,4/21/2020,3.6,4,Detached,399.9 sq.m.
1007511,Unknown,263040,4/23/2020,4.2,5,Detached,443.6 sq.m.
1883673,Unknown,92500,4/24/2020,4.5,2,Semi-detached,155.0 sq.m.
1688352,Silvertown,374032,4/27/2020,9.2,6,Detached,557.0 sq.m.
1447466,Teasdale,240362,4/28/2020,6.3,3,Detached,298.8 sq.m.
1174758,Silvertown,332467,4/28/2020,8.7,5,Detached,458.7 sq.m.
1948958,Silvertown,384440,4/29/2020,10.1,6,Detached,568.2 sq.m.
1950356,Riverford,55579,4/30/2020,3.8,2,Semi-detached,146.3 sq.m.
1816606,Silvertown,81868,4/30/2020,5.0,2,Semi-detached,156.8 sq.m.
1985167,Unknown,170290,4/30/2020,4.6,4,Detached,376.5 sq.m.
1771835,Teasdale,407825,4/30/2020,6.0,5,Detached,497.1 sq.m.
1386213,Poppleton,74700,5/2/2020,4.7,2,Semi-detached,172.8 sq.m.
1358764,Poppleton,211203,5/4/2020,3.0,4,Detached,371.5 sq.m.
1236347,Teasdale,493093,5/6/2020,4.3,6,Detached,583.4 sq.m.
1810420,Silvertown,34747,5/7/2020,6.0,2,Terraced,114.2 sq.m.
1718392,Silvertown,86335,5/8/2020,5.9,2,Semi-detached,173.8 sq.m.
1345078,Teasdale,65164,5/9/2020,6.5,2,Terraced,164.4 sq.m.
1699422,Poppleton,147309,5/10/2020,2.8,3,Detached,275.5 sq.m.
1253695,Unknown,292318,5/12/2020,7.2,5,Detached,406.3 sq.m.
1820194,Poppleton,394223,5/12/2020,6.3,6,Detached,598.4 sq.m.
1601956,Poppleton,71488,5/13/2020,7.3,2,Semi-detached,162.1 sq.m.
1360727,Teasdale,291480,5/13/2020,4.3,4,Detached,357.3 sq.m.
1851172,Silvertown,304871,5/13/2020,2.3,5,Detached,443.8 sq.m.
1702505,Silvertown,128510,5/14/2020,6.5,3,Semi-detached,238.8 sq.m.
1738352,Teasdale,146652,5/15/2020,4.8,3,Semi-detached,237.6 sq.m.
1027136,Riverford,196924,5/16/2020,7.0,5,Detached,400.2 sq.m.
1585100,Silvertown,319656,5/16/2020,5.4,5,Detached,441.4 sq.m.
1645993,Teasdale,343401,5/16/2020,2.6,5,Detached,404.9 sq.m.
1462894,Poppleton,362570,5/16/2020,7.6,6,Detached,563.8 sq.m.
1732469,Poppleton,172248,5/17/2020,8.6,3,Detached,284.4 sq.m.
1278608,Poppleton,256776,5/17/2020,7.1,5,Detached,442.4 sq.m.
1135020,Teasdale,471186,5/17/2020,3.7,6,Detached,597.2 sq.m.
1464727,Silvertown,301698,5/19/2020,6.2,5,Detached,444.2 sq.m.
1487508,Teasdale,262254,5/20/2020,6.0,4,Detached,314.8 sq.m.
1917216,Teasdale,340932,5/20/2020,6.2,5,Detached,472.9 sq.m.
1887234,Silvertown,375268,5/20/2020,9.5,6,Detached,566.2 sq.m.
1954944,Silvertown,378780,5/23/2020,4.3,6,Detached,544.9 sq.m.
1665513,Riverford,40910,5/24/2020,5.9,2,Terraced,183.3 sq.m.
1014495,Riverford,171774,5/24/2020,1.9,4,Detached,375.1 sq.m.
1487654,Unknown,72586,5/28/2020,5.4,2,Semi-detached,147.4 sq.m.
1932137,Riverford,175498,5/28/2020,10.0,4,Detached,350.5 sq.m.
1568591,Teasdale,209635,5/28/2020,6.3,3,Detached,265.5 sq.m.
1290077,Poppleton,214252,5/28/2020,4.6,4,Detached,349.5 sq.m.
1821125,Silvertown,269871,5/28/2020,3.6,5,Detached,415.7 sq.m.
1221856,Riverford,140615,5/29/2020,6.3,3,Detached,299.8 sq.m.
1237280,Silvertown,218892,5/31/2020,2.8,4,Detached,345.5 sq.m.
1525754,Unknown,417292,5/31/2020,4.5,5,Detached,468.5 sq.m.
1548631,Teasdale,318442,6/3/2020,5.6,4,Detached,373.1 sq.m.
1875485,Teasdale,161593,6/4/2020,5.6,3,Detached,217.1 sq.m.
1271940,Riverford,170545,6/4/2020,7.0,4,Detached,349.3 sq.m.
1000296,Silvertown,268043,6/4/2020,7.4,4,Detached,394.7 sq.m.
1600359,Silvertown,406906,6/4/2020,5.5,6,Detached,565.6 sq.m.
1416637,Riverford,77186,6/5/2020,3.3,3,Semi-detached,225.2 sq.m.
1195530,Silvertown,208965,6/5/2020,4.6,3,Detached,294.3 sq.m.
1938926,Silvertown,292564,6/6/2020,3.3,5,Detached,457.6 sq.m.
1892421,Silvertown,351318,6/6/2020,2.1,5,Detached,487.1 sq.m.
1542453,Poppleton,63038,6/8/2020,4.0,2,Semi-detached,129.6 sq.m.
1122377,Silvertown,110560,6/8/2020,6.4,3,Semi-detached,210.7 sq.m.
1334580,Silvertown,381993,6/8/2020,5.5,5,Detached,490.2 sq.m.
1261658,Poppleton,125551,6/9/2020,4.3,3,Detached,224.1 sq.m.
1641603,Teasdale,99054,6/10/2020,9.3,2,Semi-detached,160.6 sq.m.
1117876,Riverford,54934,6/11/2020,3.7,2,Semi-detached,147.7 sq.m.
1721740,Silvertown,282487,6/11/2020,8.0,5,Detached,427.0 sq.m.
1861629,Poppleton,283525,6/11/2020,7.2,6,Detached,524.0 sq.m.
1072523,Teasdale,67445,6/13/2020,2.2,2,Semi-detached,108.1 sq.m.
1472353,Silvertown,241305,6/13/2020,6.8,4,Detached,320.3 sq.m.
1346945,Poppleton,274344,6/14/2020,8.4,5,Detached,466.6 sq.m.
1319650,Silvertown,291470,6/14/2020,6.3,5,Detached,434.4 sq.m.
1389000,Poppleton,336815,6/14/2020,5.8,6,Detached,588.7 sq.m.
1260544,Silvertown,116552,6/15/2020,11.8,3,Semi-detached,227.8 sq.m.
1457793,Silvertown,183077,6/15/2020,2.2,3,Detached,251.9 sq.m.
1915202,Teasdale,349648,6/15/2020,5.4,5,Detached,439.3 sq.m.
1624288,Silvertown,69405,6/18/2020,7.8,3,Terraced,201.2 sq.m.
1312145,Poppleton,77512,6/18/2020,6.5,2,Semi-detached,170.1 sq.m.
1843488,Poppleton,180991,6/19/2020,5.7,3,Detached,293.3 sq.m.
1307040,Teasdale,212913,6/19/2020,8.0,3,Detached,260.6 sq.m.
1224317,Silvertown,321064,6/19/2020,8.2,5,Detached,448.9 sq.m.
1298353,Silvertown,197702,6/23/2020,7.0,4,Detached,302.0 sq.m.
1683570,Poppleton,265135,6/23/2020,5.8,5,Detached,424.4 sq.m.
1364811,Silvertown,307128,6/23/2020,7.6,5,Detached,435.3 sq.m.
1461222,Teasdale,375200,6/23/2020,10.8,5,Detached,448.3 sq.m.
1655164,Silvertown,210697,6/24/2020,8.8,4,Detached,308.3 sq.m.
1431144,Riverford,48633,6/25/2020,3.9,2,Semi-detached,128.4 sq.m.
1491632,Silvertown,73750,6/25/2020,3.2,3,Terraced,209.9 sq.m.
1941124,Teasdale,77847,6/25/2020,3.2,2,Semi-detached,120.3 sq.m.
1186664,Silvertown,87689,6/25/2020,7.9,2,Semi-detached,183.5 sq.m.
1828008,Poppleton,222748,6/25/2020,4.6,4,Detached,371.1 sq.m.
1010355,Poppleton,61207,6/27/2020,5.2,2,Semi-detached,145.0 sq.m.
1140256,Silvertown,303749,6/27/2020,5.7,5,Detached,424.8 sq.m.
1448759,Riverford,57616,6/28/2020,10.7,2,Semi-detached,155.0 sq.m.
